Sensor: 2S_4289_SN10_smalledge
Date:6/21/2018 11:38:01.7830 AM
Step Size X and Y: 251.6130 and 194.6490
Step Number X and Y: 31 and 37
Calibration X and Y: 11.4500 and 10.8800
Angle: -0.006000
f/e: 55=fiducial, 33=edge
edge: 0=top, 1=left, 2=right, 3=bottom 

edge	filx	fily	pixx	pixy	psx	psy	f/e
0	0	0	143.848206	69.878494	68270	61345	55
0	0	0	93.837769	69.911949	68270	61345	55
0	0	0	45.986359	69.952393	68270	61345	55
0	10	0	93.288612	70.386642	65754	61360	55
0	10	0	181.144714	70.345131	65754	61360	55
0	10	0	269.060822	70.177071	65754	61360	55
0	11	0	162.890869	69.861511	65502	61362	55
0	11	0	74.980812	69.907379	65502	61362	55
0	11	0	250.730713	69.762611	65502	61362	55
0	12	0	146.077744	70.600151	65251	61363	55
0	12	0	233.937927	70.493805	65251	61363	55
0	12	0	58.299343	70.660179	65251	61363	55
0	13	0	127.843201	70.092926	64999	61365	55
0	13	0	40.097420	70.143410	64999	61365	55
0	13	0	215.708191	70.003571	64999	61365	55
0	13	0	303.695251	69.881935	64999	61365	55
0	14	0	109.344200	70.746712	64747	61366	55
0	14	0	21.669870	70.798576	64747	61366	55
0	15	0	299.613525	70.017967	64496	61368	55
0	16	0	18.082655	70.923851	64244	61369	55
0	17	0	207.151016	70.016075	63993	61371	55
0	17	0	295.128723	69.836113	63993	61371	55
0	18	0	101.530159	70.763527	63741	61372	55
0	18	0	13.814021	70.777870	63741	61372	55
0	18	0	189.305038	70.605492	63741	61372	55
0	18	0	277.216095	70.530563	63741	61372	55
0	19	0	83.581802	70.117393	63489	61374	55
0	19	0	171.344040	70.075226	63489	61374	55
0	19	0	259.259430	69.829903	63489	61374	55
0	1	0	165.153412	69.104279	68018	61347	55
0	1	0	253.022858	69.044090	68018	61347	55
0	20	0	67.027191	70.941788	63238	61375	55
0	20	0	242.767502	70.775253	63238	61375	55
0	20	0	154.817184	70.881004	63238	61375	55
0	21	0	49.394428	70.434441	62986	61377	55
0	21	0	224.981171	70.195236	62986	61377	55
0	21	0	137.117996	70.271675	62986	61377	55
0	22	0	31.989960	71.085274	62735	61378	55
0	22	0	119.675247	71.030472	62735	61378	55
0	22	0	207.514282	70.955605	62735	61378	55
0	22	0	295.427338	70.851326	62735	61378	55
0	23	0	277.924347	70.277199	62483	61380	55
0	23	0	14.475967	70.636467	62483	61380	55
0	23	0	189.987457	70.382912	62483	61380	55
0	23	0	102.209068	70.480324	62483	61380	55
0	24	0	172.167572	71.098160	62231	61381	55
0	24	0	84.356842	71.232712	62231	61381	55
0	24	0	260.127411	70.967796	62231	61381	55
0	25	0	67.667290	70.626328	61980	61383	55
0	25	0	155.394791	70.559525	61980	61383	55
0	25	0	243.316650	70.389236	61980	61383	55
0	26	0	49.883251	71.337341	61728	61384	55
0	26	0	137.668518	71.223015	61728	61384	55
0	26	0	225.446854	71.151001	61728	61384	55
0	27	0	32.989773	70.741096	61477	61386	55
0	27	0	120.738640	70.699730	61477	61386	55
0	27	0	208.711227	70.615364	61477	61386	55
0	27	0	296.561768	70.436310	61477	61386	55
0	28	0	278.766785	71.201653	61225	61387	55
0	28	0	190.831406	71.363922	61225	61387	55
0	28	0	102.937729	71.436668	61225	61387	55
0	28	0	15.183934	71.549004	61225	61387	55
0	29	0	85.063553	70.893478	60973	61389	55
0	29	0	172.922501	70.821236	60973	61389	55
0	29	0	260.829529	70.758987	60973	61389	55
0	2	0	60.216568	70.045258	67767	61348	55
0	2	0	147.988800	69.904289	67767	61348	55
0	2	0	235.879135	69.813934	67767	61348	55
0	30	0	68.642616	71.617683	60722	61390	55
0	30	0	156.335800	71.435440	60722	61390	55
0	31	0	178.675873	71.059883	60470	61392	55
0	31	0	228.797821	70.895851	60470	61392	55
0	31	0	276.630432	70.932495	60470	61392	55
0	3	0	305.486542	69.188850	67515	61350	55
0	3	0	217.498795	69.268150	67515	61350	55
0	3	0	129.631760	69.492203	67515	61350	55
0	3	0	41.843349	69.481964	67515	61350	55
0	4	0	24.717508	70.162102	67264	61351	55
0	4	0	112.372787	70.035431	67264	61351	55
0	4	0	200.188034	69.943642	67264	61351	55
0	4	0	288.178680	69.857124	67264	61351	55
0	5	0	269.761475	69.263580	67012	61353	55
0	5	0	181.819443	69.333733	67012	61353	55
0	5	0	94.051262	69.534775	67012	61353	55
0	6	0	75.587166	70.174278	66760	61354	55
0	6	0	163.340820	70.042229	66760	61354	55
0	6	0	251.195038	70.010223	66760	61354	55
0	7	0	58.805103	69.762970	66509	61356	55
0	7	0	234.360519	69.611641	66509	61356	55
0	7	0	146.499619	69.631187	66509	61356	55
0	8	0	40.826183	70.337326	66257	61357	55
0	8	0	304.301666	69.983437	66257	61357	55
0	8	0	216.330414	70.156166	66257	61357	55
0	8	0	128.599304	70.344765	66257	61357	55
0	9	0	23.300259	69.831841	66006	61359	55
0	9	0	111.053329	69.807243	66006	61359	55
